title,release_date,popularity,vote_average,vote_count
War Machine,2026-03-06,472.8603,7.227,856
Hoppers,2026-03-06,148.4862,7.718,195
Greenland 2: Migration,2026-01-09,138.5129,6.432,606
Mercy,2026-01-23,127.805,7.105,735
"Good Luck, Have Fun, Don't Die",2026-02-13,102.3336,6.978,159
War of the Worlds,2025-07-30,100.0098,4.164,922
Avatar: Fire and Ash,2025-12-19,107.3607,7.264,1893
Alpha,2025-10-17,85.4253,6.401,96
Project Hail Mary,2026-03-20,100.5315,8.7,41
Predator: Badlands,2025-11-07,75.7727,7.701,2396
Cold Storage,2026-02-13,63.1731,6.67,194
The Empire,2025-03-07,65.4697,4.789,97
28 Years Later: The Bone Temple,2026-01-16,48.8491,7.185,825
Interstellar,2014-11-05,51.3713,8.468,39130
Alien: Covenant,2017-05-19,49.8742,6.171,9291
The Avengers,2012-05-04,50.8195,7.967,36483
The Bride!,2026-03-06,43.5131,6.274,166
Worldbreaker,2025-12-30,39.9638,5.904,99
The Running Man,2025-11-14,39.3282,6.772,1275
EVANGELION 30th Anniversary Special Screening,2026-02-21,34.3201,7.5,2
SHARE?,2023-11-10,40.3843,5.5,22
Jurassic World Rebirth,2025-07-02,32.3918,6.299,3109
Bugonia,2025-10-24,30.777,7.349,1635
Communion,1989-11-10,25.2557,5.31,184
Osiris,2025-07-25,30.9771,5.916,209
Cosmic Princess Kaguya!,2026-01-22,29.7128,8.3,56
TRON: Ares,2025-10-10,31.085,6.477,1265
Superman,2025-07-11,30.6694,7.352,4473
Avatar,2009-12-18,32.0477,7.6,33613
Inception,2010-07-16,29.8784,8.37,38845
Avengers: Infinity War,2018-04-27,29.9121,8.234,31603
The Fantastic 4: First Steps,2025-07-25,27.5944,6.967,3085
In the Blink of an Eye,2026-01-26,23.1821,5.068,73
Afterburn,2025-09-19,22.118,6.379,214
Spider-Man,2002-05-03,22.5392,7.323,20394
Deadpool & Wolverine,2024-07-26,23.8927,7.555,8364
My Science Project,1985-08-09,16.5309,6.209,153
Kraken,2025-04-17,21.7981,6.283,46
The Gorge,2025-02-13,23.0617,7.618,3505
The Matrix,1999-03-31,24.379,8.24,27518
Spider-Man: No Way Home,2021-12-17,24.2087,7.933,21665
The Faculty,1998-12-25,19.4877,6.562,2193
Spider-Man: Into the Spider-Verse,2018-12-14,21.623,8.394,16959
The Great Flood,2025-12-19,19.639,5.99,621
Afterburn,2025-09-19,22.118,6.4,214
Iron Man 2,2010-05-07,21.9024,6.85,22152
Dune,2021-10-22,25.4966,7.778,14566
Despicable Me 4,2024-07-03,21.679,6.989,3104
Lilo & Stitch,2025-05-23,19.7511,7.203,2068
Avatar: The Way of Water,2022-12-16,24.9599,7.596,13835
The Wild Robot,2024-09-27,20.4946,8.308,5809
Blade Runner 2049,2017-10-06,20.1316,7.589,14878
Spider-Man: Across the Spider-Verse,2023-06-02,20.8654,8.333,8346
Sonic the Hedgehog 3,2024-12-20,19.9947,7.619,3172
Somnium,2025-08-28,17.1864,5.56,25
Doomsday,2008-03-14,15.6379,5.942,1370
Iron Man,2008-05-02,19.7291,7.656,27852
Alien,1979-05-25,17.3087,8.167,16111
Avengers: Endgame,2019-04-26,18.2643,8.235,27367
M3GAN 2.0,2025-06-27,17.5516,7.255,1198
Back to the Future,1985-07-03,19.1335,8.324,21485
Thunderbolts*,2025-05-02,17.8904,7.291,3295
